tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
925,1/2/2018 6:31,1/2/2018 6:46,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,31710,Subscriber,1972,1
162,1/2/2018 6:39,1/2/2018 6:42,3214,Essex Light Rail,40.7127742,-74.0364857,3184,Paulus Hook,40.7141454,-74.0335519,31880,Subscriber,1971,2
549,1/2/2018 6:45,1/2/2018 6:54,3207,Oakland Ave,40.7376037,-74.0524783,3209,Brunswick St,40.7241765,-74.0506564,31908,Subscriber,1993,2
190,1/2/2018 6:47,1/2/2018 6:50,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958612,-74.04311746,31716,Subscriber,1978,1
384,1/2/2018 6:48,1/2/2018 6:55,3213,Van Vorst Park,40.71848892,-74.04772663,3275,Columbus Drive,40.7183552,-74.03891444,26212,Subscriber,1986,1
236,1/2/2018 7:03,1/2/2018 7:07,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29610,Subscriber,1991,1
195,1/2/2018 7:03,1/2/2018 7:07,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26228,Subscriber,1977,2
296,1/2/2018 7:04,1/2/2018 7:09,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,29666,Subscriber,1979,1
275,1/2/2018 7:04,1/2/2018 7:09,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,31716,Subscriber,1956,1
395,1/2/2018 7:05,1/2/2018 7:11,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,31861,Subscriber,1979,1
273,1/2/2018 7:05,1/2/2018 7:10,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,31920,Subscriber,1989,2
213,1/2/2018 7:07,1/2/2018 7:11,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.7192517,-74.034234,31759,Subscriber,1989,1
195,1/2/2018 7:07,1/2/2018 7:10,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,31754,Subscriber,1984,1
317,1/2/2018 7:17,1/2/2018 7:22,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31772,Subscriber,1979,1
313,1/2/2018 7:18,1/2/2018 7:23,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31842,Subscriber,1969,1
296,1/2/2018 7:22,1/2/2018 7:27,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,29587,Subscriber,1980,1
206,1/2/2018 7:23,1/2/2018 7:26,3481,York St,40.71649,-74.04105,3183,Exchange Place,40.7162469,-74.0334588,26220,Subscriber,1975,1
299,1/2/2018 7:24,1/2/2018 7:29,3207,Oakland Ave,40.7376037,-74.0524783,3640,Journal Square,40.73367,-74.0625,31721,Subscriber,1986,1
423,1/2/2018 7:25,1/2/2018 7:32,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,31706,Subscriber,1984,2
262,1/2/2018 7:30,1/2/2018 7:34,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31949,Subscriber,1955,1
399,1/2/2018 7:32,1/2/2018 7:39,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31934,Subscriber,1988,1
441,1/2/2018 7:34,1/2/2018 7:41,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29613,Subscriber,1992,1
314,1/2/2018 7:35,1/2/2018 7:40,3275,Columbus Drive,40.7183552,-74.03891444,3213,Van Vorst Park,40.71848892,-74.04772663,29616,Subscriber,1986,1
354,1/2/2018 7:35,1/2/2018 7:41,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,31840,Subscriber,1972,1
720,1/2/2018 7:36,1/2/2018 7:48,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,31773,Subscriber,1988,2
223,1/2/2018 7:36,1/2/2018 7:40,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29644,Subscriber,1992,1
288,1/2/2018 7:39,1/2/2018 7:44,3270,Jersey & 6th St,40.72528911,-74.04557168,3638,Washington St,40.7242941,-74.0354826,29582,Subscriber,1973,1
745,1/2/2018 7:42,1/2/2018 7:54,3210,Pershing Field,40.74267714,-74.05178863,3202,Newport PATH,40.7272235,-74.0337589,31778,Subscriber,1995,2
300,1/2/2018 7:43,1/2/2018 7:48,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,31816,Subscriber,1994,1
233,1/2/2018 7:43,1/2/2018 7:47,3481,York St,40.71649,-74.04105,3639,Harborside,40.7192517,-74.034234,26175,Subscriber,1986,1
458,1/2/2018 7:45,1/2/2018 7:53,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.0337589,31772,Subscriber,1969,1
258,1/2/2018 7:45,1/2/2018 7:49,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31767,Subscriber,1990,1
217,1/2/2018 7:46,1/2/2018 7:50,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,26256,Subscriber,1956,1
288,1/2/2018 7:46,1/2/2018 7:51,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,31739,Subscriber,1988,2
229,1/2/2018 7:48,1/2/2018 7:51,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,29662,Subscriber,1989,1
224,1/2/2018 7:48,1/2/2018 7:51,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29604,Subscriber,1968,1
339,1/2/2018 7:48,1/2/2018 7:53,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31859,Subscriber,1973,1
640,1/2/2018 7:50,1/2/2018 8:01,3209,Brunswick St,40.7241765,-74.0506564,3183,Exchange Place,40.7162469,-74.0334588,26234,Subscriber,1976,1
570,1/2/2018 7:52,1/2/2018 8:02,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,31689,Subscriber,1976,1
239,1/2/2018 7:53,1/2/2018 7:57,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31779,Subscriber,1974,1
114,1/2/2018 7:53,1/2/2018 7:55,3639,Harborside,40.7192517,-74.034234,3183,Exchange Place,40.7162469,-74.0334588,31777,Subscriber,NULL,0
286,1/2/2018 7:54,1/2/2018 7:58,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,31847,Subscriber,1994,1
502,1/2/2018 7:54,1/2/2018 8:02,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,31727,Subscriber,1966,1
276,1/2/2018 7:57,1/2/2018 8:01,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31954,Subscriber,1983,1
